,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
1315,NaCl,ai,58.4428,-407.27,-393.133,115.5,-90.0,0.0
1316,Na2Cl2,g,116.8856,-571.1,-571.41,326.5,78.83,0.0
1317,NaBr,cr,102.8988,-361.062,-348.983,86.82,51.38,0.0
1318,NaBr,g,102.8988,-143.1,-177.06,241.19,36.32,0.0
1319,NaBr,ai,102.8988,-361.665,-365.849,141.4,-95.4,0.0
1320,(NaBr)2,g,205.7976,-486.6,-514.87,349.5,80.12,0.0
1321,NaI,cr,149.8942,-287.78,-286.06,98.53,52.09,0.0
1322,NaI,g,149.8942,-79.5,-121.0,248.978,36.65,0.0
1323,NaI,ai,149.8942,-295.31,-313.47,170.3,-95.8,0.0
1324,(NaI)2,g,299.7884,-354.4,-398.89,367.9,80.8,0.0
1325,Na2SO3,cr,126.0418,-1100.8,-1012.5,145.94,120.25,0.0
1326,Na2SO4,cr,142.0412,-1387.08,-1270.16,149.58,128.20,0.0
1327,Na2SO4,ai,142.0412,-1389.51,-1268.36,138.1,-201.,0.0
1328,NaHSO4,ai,120.0594,-1127.46,-1017.80,190.8,-38.,0.0
1329,NaN3,cr,65.0099,21.71,93.81,96.86,76.61,0.0
1330,NaNO2,ai,68.9953,-344.8,-294.1,182.0,-51.0,0.0
1331,NaNO3,cr,84.9947,-467.85,-367.00,116.52,92.88,0.0
1332,NaNO3,ai,84.9947,-447.48,-373.15,205.4,-40.2,0.0
1333,NaNH2,cr,39.0125,-123.8,-64.0,76.90,66.15,0.0
1334,NaOP,g,69.9630,-205.9,-228.5,270.90,47.74,0.0
1335,NaPO2,g,85.9624,-509.2,-506.3,288.0,59.8,0.0
1336,NaPO3,g,101.9618,-866.,-838.0,306.,71.5,0.0
1337,Na3PO4,cr,163.9408,-1917.40,-1788.80,173.80,153.47,0.0
1338,(NaPO3)3,cr,305.8854,-3653.,-3381.,286.48,259.41,0.0
1339,Na4P2O7,cr,265.9026,-3188.,-2969.3,270.29,241.12,0.0
1340,Na5P3O10,cr,367.8644,-4399.1,-4093.9,381.79,327.02,0.0
1341,Na5P3O10,cr2,367.8644,-4409.9,-4100.2,365.56,325.18,0.0
1342,Na5P3O10·6H2O,cr,475.9568,-6194.8,-5540.8,611.3,573.6,0.0
1343,NaH2PO4,cr,119.9772,-1536.8,-1386.1,127.49,116.86,0.0
1344,Na2HPO4,cr,141.9590,-1748.1,-1608.2,150.50,135.31,0.0
1345,Na2H2P2O7,cr,221.9390,-2764.8,-2522.4,220.20,198.15,0.0
1346,Na2CO3,cr,105.9890,-1130.68,-1044.44,134.98,112.30,0.0
1347,Na2CO3·H2O,cr,124.0044,-1431.26,-1285.31,168.11,145.60,0.0
1348,Na2CO3·10H2O,cr,286.1430,-4081.32,-3427.66,562.7,550.32,0.0
1349,HCOONa,cr,68.0078,-666.5,-599.9,103.76,82.68,0.0
1350,HCOONa,ai,68.0078,-665.67,-612.9,151.,-41.4,0.0
1351,NaHCO3,cr,84.0072,-950.81,-851.0,101.7,87.61,0.0
